Ары,Хьау
Ja,Nee
Po,Jo
Po,Jo
Huo,Indi
 أه,لا
Sí,Non
Ehe,Nama
Iå,Na
हाँ,ना
Da,Ne
Ya,Nann
Да,Не
Sin,Nau
Sí,No
Oo,Wala
ʔę́n,ʔį́lé
Ja,Nìet
Ya,Na
Da,Ne
Ano,Ne
Ja,Nej
Ja,Nee
Yes,No
Jes,Ne
Jah,Ei
Ja,Nei
Kyllä,Ei
Oui,Non
Ja,Nee
Sì,No
Si,Non
Ja,Nein
Ναι,Όχι
Hêe,Nahániri
Wi,Non
Eh,A'a
ʻAe,ʻAʻole
כן,לא
Yog,Tsis
Igen,Nem
Já,Nei
Si,No
Sì,No
はい,いいえ
Î.,Hî-î.
E eng,Tiaki
Erê,Na
Jā,Nē
Taip,Ne
go'i,na go'i
Да,Не
Eny,Tsia
Ya,Tak
Iva,Le
हो,होइन
Ee,Aowa
Ja,Nei
Tak,Nie
Sim,Não
Da,Nu
Да,Нет
Ay,Naw
Да,Не
Se,No
Áno,Nie
Da,Ne
Sí,No
Sin,Lae
Yesa,Nogat
Ja,Nej
Evet,Hayır
Так,Ні
ھەئە,ياق
Ha,Yo'q
Ewe,Hayi
Bẹẹ ni,Bẹẹ kọ
Yebo,Cha
